电影名,年份,时长,评论,下载链接,导演,主演,分类,地区,评分,计划观看人数,简介
末路狂花,1991,,,"http://pan.baidu.com/s/1jHxKXEI, ed2k://|file|Thelma.and.Louise.1991.末路狂花.双语字幕.国英音轨.HR-HDTV.AC3.1024X576.x264.mkv|2311489247|526e8d42205349ac15abe56492b01078|h=4pi5auuq3r5j4lqhifegwblduynnfqir|/, ed2k://|file|末路狂花.Thelma.and.Louise.1991.BD.MiniSD-TLF.mkv|1042585598|A1B42AD4A4BB0B21F7F5B01E1C6B3B02|/, magnet:?xt=urn:btih:E75BD38EEAB095623AE68D58D00A3475AC8CC7AD&www=pniao.com, magnet:?xt=urn:btih:2949337AB229D9F048B0DCBB8198C67139796A0C&www=pniao.com, magnet:?xt=urn:btih:685DAE2F8D858FDEFDE477BEED1B45FE3343D174&www=pniao.com, magnet:?xt=urn:btih:6eda6bb446e5e50946751d6cd6bbdb1d7f50e664&www=pniao.com, magnet:?xt=urn:btih:aceb4495f3ee83bcfcef19e827d069dd43036f28&www=pniao.com, magnet:?xt=urn:btih:20e1b7bd2f48b16d37a850fa2fcf24433690fcbe&www=pniao.com",雷德利·斯科特,吉娜·戴维斯,"剧情,惊悚,犯罪",美国,8.7,75,由雷德利·斯科特执导，苏珊·萨兰登、吉娜·戴维斯主演的公路冒险电影。 影片讲述了生活不如意的家庭主妇塞尔玛和同样孤独的女友路易斯去郊旅行散心，却因意外杀人而逃亡的故事。影片获第49届美国电影金球奖电影类-剧情类最佳影片提名。 　该片被认为是...
东京物语,1953,,,"ed2k://|file|Tokyo.Story.1953.Criterion.Collection.720p.BluRay.x264-PublicHD.mkv|6323570914|5C8B042C8990C545F53C9D3B905768E8|h=WA6A5YEWIZSR3LHHYNZPNT5D66Q7D4SD|/, ed2k://|file|东京物语.Tokyo.Story.1953.BD.MiniSD-TLF.mkv|1068994896|A72F027D1FBD557B0811D1FFFF971C1D|/, magnet:?xt=urn:btih:c588079b75f63189ed25b05e7b13c786ab2078cb&www=pniao.com, magnet:?xt=urn:btih:12927381cb234f927b7e1ce270a62e5cda8bf7e6&www=pniao.com, magnet:?xt=urn:btih:53969b88b0165c15ca43009925128b450de9b590&www=pniao.com, magnet:?xt=urn:btih:0c72be36044974ec8437b44208c5260fdf3786a3&www=pniao.com, magnet:?xt=urn:btih:81D9B650B7F06B4DC5345EF6EB63D37C1DBD8ACB&www=pniao.com, magnet:?xt=urn:btih:1F5F23BF0EC232F0155D07BC5069450B4A51CBDB&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8VG9reW8uU3RvcnkuMTk1My5Dcml0ZXJpb24uQ29sbGVjdGlvbi43MjBwLkJsdVJheS54MjY0LVB1YmxpY0hELm1rdnw2MzIzNTcwOTE0fDVDOEIwNDJDODk5MEM1NDVGNTNDOUQzQjkwNTc2OEU4fGg9V0E2QTVZRVdJWlNSM0xISFlOWlBOVDVENjZRN0Q0U0R8L1pa",小津安二郎,笠智众,"剧情,家庭",日本,,69,日本著名导演小津安二郎作品，笠智众、原节子等主演。 影片描述的是住在海滨小城尾道的七十岁老夫妻离开故乡去探望他们住在东京的子女，在品尝了各自成家的儿女们冷淡的招待后，老夫妇决定回归老家，结果年迈的老伴得病，死在了旅程的终点的故事。
血钻,2006,143,,"ed2k://|file|Blood.Diamond.血钻.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv|2307336844|B9127D61DC422A93AC8892C63595A00C|h=FSBHE477523O67DFKS4ES2MVF5VIA3SI|/, ed2k://|file|Blood.Diamond.2006.BluRay.1080p.x264-10bit.TrueHD5.1-HDTime.mkv|12636927944|B4A4FEFDD5867602EFA143966F064584|h=BCITXRKR3GXRWOOQATFUP36RWLWLYHMO|/, ed2k://|file|Blood.Diamond.2006.BluRay.720p.x264-WiKi.mkv|6979012653|9C6D2205F73435FBFB89E6E18E2802EB|h=6IBWY4FXLAGUOS6USW4GHTRN5Y6LMECW|/, ed2k://|file|Blood.Diamond.血钻.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作(ED2000.COM).mkv|2307336844|B9127D61DC422A93AC8892C63595A00C|h=FSBHE477523O67DFKS4ES2MVF5VIA3SI|/, magnet:?xt=urn:btih:66407897919299c078ebff97cff4bd2bace00203&www=pniao.com, magnet:?xt=urn:btih:c60aae307bbe04c63d65340a33ed266a280d677c&www=pniao.com, magnet:?xt=urn:btih:1e9f78466507314ab89f14267ca979c84c99b3ce&www=pniao.com, magnet:?xt=urn:btih:00eee8ea3533ca8f75583a931af765d0dd604319&www=pniao.com, magnet:?xt=urn:btih:f9a67db532df82bc4e633e942044f4b90932a78e&www=pniao.com, magnet:?xt=urn:btih:144f4a37bc85b24adfea67503916be303e088419&www=pniao.com, magnet:?xt=urn:btih:9f2091a4245466e16c51e3af06b351e403c26047&www=pniao.com, magnet:?xt=urn:btih:be137058116cedb73f16b7c2dd57dd8bdbdcb68c&www=pniao.com, magnet:?xt=urn:btih:48EBAB23F43683C1D7FDE207FACA7141901BA060&www=pniao.com, magnet:?xt=urn:btih:5833E4A094A635AA49E0700182DB94B93E28F317&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8Qmxvb2QuRGlhbW9uZC7ooYDpkrsu5Y+M6K+t5a2X5bmVLkhSLUhEVFYuQUMzLjEwMjRYNTc2LngyNjQt5Lq65Lq65b2x6KeG5Yi25L2cLm1rdnwyMzA3MzM2ODQ0fEI5MTI3RDYxREM0MjJBOTNBQzg4OTJDNjM1OTVBMDBDfGg9RlNCSEU0Nzc1MjNPNjdERktTNEVTMk1WRjVWSUEzU0l8L1pa, thunder://QUFlZDJrOi8vfGZpbGV8Qmxvb2QuRGlhbW9uZC4yMDA2LkJsdVJheS4xMDgwcC54MjY0LTEwYml0LlRydWVIRDUuMS1IRFRpbWUubWt2fDEyNjM2OTI3OTQ0fEI0QTRGRUZERDU4Njc2MDJFRkExNDM5NjZGMDY0NTg0fGg9QkNJVFhSS1IzR1hSV09PUUFURlVQMzZSV0xXTFlITU98L1pa, thunder://QUFlZDJrOi8vfGZpbGV8Qmxvb2QuRGlhbW9uZC4yMDA2LkJsdVJheS43MjBwLngyNjQtV2lLaS5ta3Z8Njk3OTAxMjY1M3w5QzZEMjIwNUY3MzQzNUZCRkI4OUU2RTE4RTI4MDJFQnxoPTZJQldZNEZYTEFHVU9TNlVTVzRHSFRSTjVZNkxNRUNXfC9aWg==",爱德华·兹威克,莱昂纳多·迪卡普里奥,"剧情,惊悚,冒险",美国,8.5,41,由爱德华·兹威克执导，莱昂纳多·迪卡普里奥、詹妮弗·康纳利主演。 以塞拉利昂1999年的内战为背景，讲述了一位由莱昂纳多·迪卡普里奥饰演的的不法之徒在非洲从事钻石走私的事情以及在遇到一位记者后，他的思想发生了重大扭转，最终领悟了生活和爱的真...
终结者2：审判日,1991,137,,"ed2k://|file|Terminator.2.终结者2.双语字幕.HR-HDTV.AC3.1024X576.X264-人人影视制作.mkv|2557979110|7CFA6CDA4B839A2B7FC79C19E57EA8B5|h=K23FSUOLRVWNCGLCETSWLKSHMYUUDP3P|/, ed2k://|file|hd4u-t2.720.mkv|9383530930|D276DEC1EB2D5CB606316B1CC640273F|h=RUY7AQTCQQFIBCTR66MRE5TJUJIKEHNO|/, ed2k://|file|终结者2双结局版.Terminator.2.Judgment.Day.(Skynet.Edition).2in1.1991.BluRay.2Audio.MiniSD-TLF.mkv|1687218031|52610D782C57E3AB129AB968A94E147C|/, magnet:?xt=urn:btih:9B21DE0098C8CD32437EAFFB0DC886F1733963D4&www=pniao.com, magnet:?xt=urn:btih:D32F59C380F7D1BF349D339B7EAC20EED10C28BE&www=pniao.com, magnet:?xt=urn:btih:030D0E796B8EDA2F0AD445790FD1A92251D462F5&www=pniao.com, magnet:?xt=urn:btih:f907e575c9d8d908bf3e0163c994b1d1673a8a7d&www=pniao.com, magnet:?xt=urn:btih:8f2445c072475b9849f28f8270f6fac4340c3724&www=pniao.com, magnet:?xt=urn:btih:07da57688cc8bcf4a2645a20a3794fee610f3143&www=pniao.com, magnet:?xt=urn:btih:a004296647c34a6c3ceaff7b62a0c7ed8ee34f1a&www=pniao.com, magnet:?xt=urn:btih:17d23316fbbbc90ae37a1a6ac266ac594e33b2a3&www=pniao.com, magnet:?xt=urn:btih:9f8f954d93de36a01c4a2105e6c4847ff23dfe6e&www=pniao.com, magnet:?xt=urn:btih:f3075f4466da1ae4716192d985aed897b628ed5a&www=pniao.com, magnet:?xt=urn:btih:7b40393bd07d3a988c2cd541185927e71dbb6e22&www=pniao.com, magnet:?xt=urn:btih:ea23503309338ea21a2326369d5ead1c13a732d5&www=pniao.com, magnet:?xt=urn:btih:7905e7a63b1f678d930539f4b7873a410589e122&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8VGVybWluYXRvci4yLue7iOe7k+iAhTIu5Y+M6K+t5a2X5bmVLkhSLUhEVFYuQUMzLjEwMjRYNTc2LlgyNjQt5Lq65Lq65b2x6KeG5Yi25L2cLm1rdnwyNTU3OTc5MTEwfDdDRkE2Q0RBNEI4MzlBMkI3RkM3OUMxOUU1N0VBOEI1fGg9SzIzRlNVT0xSVldOQ0dMQ0VUU1dMS1NITVlVVURQM1B8L1pa, thunder://QUFlZDJrOi8vfGZpbGV8aGQ0dS10Mi43MjAubWt2fDkzODM1MzA5MzB8RDI3NkRFQzFFQjJENUNCNjA2MzE2QjFDQzY0MDI3M0Z8aD1SVVk3QVFUQ1FRRklCQ1RSNjZNUkU1VEpVSklLRUhOT3wvWlo=",詹姆斯·卡梅隆,阿诺·施瓦辛格,"动作,科幻",美国,8.5,19,詹姆斯·卡梅隆执导的科幻动作片，阿诺·施瓦辛格、琳达·汉密尔顿、爱德华·福隆、罗伯特·帕特里克领衔主演 。讲述了一个从未来回到九十年代的机器人T-800，他的任务是保护长大后会成为领袖的约翰康能和他的母亲。而比他先进的T-1000也不露声色...
功夫,2004,100,,"http://pan.baidu.com/s/1nuJZxtZ 密码:0vr3, magnet:?xt=urn:btih:91EFD19BE163FC48F97FFDF6403702DE2F65AC97&www=pniao.com, magnet:?xt=urn:btih:FE06B860AB8D0F45AFF3992B169636CBBB42398C&www=pniao.com, magnet:?xt=urn:btih:9127E966A413F930DCD630406A13729D0E47B004&www=pniao.com, magnet:?xt=urn:btih:9D7B63371DB6CAA2AD78966E072ABB3E4CB76EE7&www=pniao.com, magnet:?xt=urn:btih:e33cf4a25fa3a347a4545567378d4a7b3c8b89c4&www=pniao.com, magnet:?xt=urn:btih:35aa9e0faaa04c19393c3a657b67d141603c928b&www=pniao.com",周星驰,周星驰,"喜剧,动作,犯罪",中国大陆,8,20,由周星驰担任导演、编剧兼主演。片中包含了对武侠文化的敬仰、独特性与周星驰一贯的无厘头、夸张的搞笑风格。故事取景于1940年代中的中国，周星驰饰演一位无所作为、想加入当地最大帮派的小混混。 1940年代的上海，自小受尽欺辱的街头混混阿星（周星...
变脸,1997,138,,"http://pan.baidu.com/s/1gffofmF 密码:p5kr, ed2k://|file|Face.Off.变脸.双语字幕.HR-HDTV.AC3.1024X576.X264-人人影视制作.mkv|2650071096|D8B42CE20BF91C5D8E51DE084E4F212B|h=BCUSZQD5MRAX7626YP5F5W3BOY5PF6HZ|/, ed2k://|file|Face.Off.1997.BluRay.720p.DTS.x264-3Li.mkv|5885473689|B8C8F7B79FBC9D048EDEEFEDE30AEDB6|h=OX2572EY2MQS5JOCUXT3CLQQCUSVNY5M|/, magnet:?xt=urn:btih:2540f40f3c753605a04fbb7fa851be04c29540f3&www=pniao.com, magnet:?xt=urn:btih:0ecbafe3915d102bb8731fdf60c23d9463e568f7&www=pniao.com, magnet:?xt=urn:btih:170ba639a9a2a4dabe7cdbbfc023a11140d89c89&www=pniao.com, magnet:?xt=urn:btih:b6fc6ba40adf91c62470aa12863aafe97f09c509&www=pniao.com, magnet:?xt=urn:btih:253b97b0b93623a75bb4525c5f0844644c42e4e4&www=pniao.com, magnet:?xt=urn:btih:1d2d30fee9af75af97b875c9c08e0047c565ccb8&www=pniao.com, magnet:?xt=urn:btih:6c50bc666dbe470da74ced0998b08bc5a190cb86&www=pniao.com, magnet:?xt=urn:btih:dd9dfc22cd947cd12655faaa42c19f1cca705527&www=pniao.com, magnet:?xt=urn:btih:fc0e9098923f2a0d489e0a2ea34e2e159970ea22&www=pniao.com, magnet:?xt=urn:btih:2538e10d3724c56a0106bed4554c5dde6a7a80ec&www=pniao.com, magnet:?xt=urn:btih:969537AE3E1DB9C66E6A75DDB097E8802336B317&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8RmFjZS5PZmYu5Y+Y6IS4LuWPjOivreWtl+W5lS5IUi1IRFRWLkFDMy4xMDI0WDU3Ni5YMjY0LeS6uuS6uuW9seinhuWItuS9nC5ta3Z8MjY1MDA3MTA5NnxEOEI0MkNFMjBCRjkxQzVEOEU1MURFMDg0RTRGMjEyQnxoPUJDVVNaUUQ1TVJBWDc2MjZZUDVGNVczQk9ZNVBGNkhafC9aWg==, thunder://QUFlZDJrOi8vfGZpbGV8RmFjZS5PZmYuMTk5Ny5CbHVSYXkuNzIwcC5EVFMueDI2NC0zTGkubWt2fDU4ODU0NzM2ODl8QjhDOEY3Qjc5RkJDOUQwNDhFREVFRkVERTMwQUVEQjZ8aD1PWDI1NzJFWTJNUVM1Sk9DVVhUM0NMUVFDVVNWTlk1TXwvWlo=",吴宇森,约翰·特拉沃尔塔,"动作,科幻,惊悚",美国,8.4,21,动作剧情片，由吴宇森执导，尼古拉斯·凯奇、约翰·特拉沃塔、琼·艾伦、亚历桑德罗·尼沃拉和吉娜·格申等联袂出演。讲述FBI探员亚瑟追捕恐怖杀手凯斯特长达8年之久，凯斯曾杀害他的儿子，两人因此结下了不共戴天之仇。一次，为了调查致命炸弹的放置地点...
东方快车谋杀案,1974,,,"ed2k://|file|东方快车谋杀案.Murder.On.The.Orient.Express.1974.BD.3Audio.MiniSD-TLF.mkv|1315627852|58D7B63628DF0FBBC15C658EEB70FF0E|/, magnet:?xt=urn:btih:661D2D14167E4C8A3D20BE87E04702BF3A5B4515&www=pniao.com, magnet:?xt=urn:btih:A1B90B92BADA59516779E5530C060772B8CF5974&www=pniao.com, magnet:?xt=urn:btih:C373C8E68A848D6C508C310B98CFA8B4718E16C7&www=pniao.com, magnet:?xt=urn:btih:5cf1ae86fffd3d31c42188e0ac380281a45e66bb&www=pniao.com, magnet:?xt=urn:btih:d35b3b95e3220b4d0a8c7a6f47dd0590c6431ad4&www=pniao.com, magnet:?xt=urn:btih:29644e6b4f4b77d1214ffee957cfd10a1a455550&www=pniao.com, magnet:?xt=urn:btih:b01acbd4b31806fe57e25514635fdde93dc45664&www=pniao.com",西德尼·吕美特,阿尔伯特·芬尼,"剧情,悬疑,犯罪",英国,,38,影史经典。改编自英国推理小说作家阿加莎·克里斯蒂的作品。阿尔伯特·芬尼、劳伦·白考尔、马丁·鲍尔萨姆、英格丽·褒曼、杰奎琳·比塞特等主演的犯罪推理影片。一部故事构想奇特的影片，讲述了比利时大侦探侦破火车上的一宗离奇凶杀案。
惊魂记,1960,,,"http://pan.baidu.com/s/1o7ZlSpG 密码:q78u, ed2k://|file|惊魂记.Psycho.1960.BD-MP4(pniao.com).mp4|652726420|580326247a1463f09618c5a9c2a7f4b7|h=qwn6xw7h75lnyqbtwfkwolbtu3dwewfk|/, ed2k://|file|[精神病患者].Psycho.1960.BluRay.1080p.x264.DTS-MySiLU.mkv|9390327775|73fd770352b2832719a39ff89d39cbea|h=r7fyeyv5yliwzzdldysdzmaj4eefpxsa|/, ed2k://|file|[精神病患者].Psycho.1960.BluRay.1080p.x264.DTS-MySiLU.Sample.mkv|100152922|8415be146a2c2a65fff59ac7001b8d11|h=vtqrkoj44lwymk3gna27w5xwm6gxqmrg|/, ed2k://|file|[惊魂记.].Psycho.1960.BluRay.720p.DTS.x264-CHD.sample.mkv|53251041|3decb52144a3df5ccb6ad788131e2bf5|h=gvwskkhicu457m2p6ndyhtnnvq7z5txb|/, ed2k://|file|[惊魂记.].Psycho.1960.BluRay.720p.DTS.x264-CHD.mkv|7026440812|c2b4bd0b0bdf9c47f4471fb12c1fe155|h=snewakyr73cni5exybdfhrtlx4c5i3p6|/, ed2k://|file|惊魂记.Psycho.1960.BD.MiniSD-TLF.mkv|789784212|F4F35842D967740BD63D8260857F93A1|/, ed2k://|file|Psycho.1960.精神病患者.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv|1782928900|7C68C0AACBD679E034545A524AEC1EC3|h=N4XNOE3JAKZHZDINLMICBRN2HO5YJTT7|/, magnet:?xt=urn:btih:d64788a23edf29471de8664415606d5d934731a1&www=pniao.com, magnet:?xt=urn:btih:75ae94ef3835a7f84bf344a37598910518c6d423&www=pniao.com, magnet:?xt=urn:btih:506ebc0cd5aa754578997020ee5dde92de599508&www=pniao.com, magnet:?xt=urn:btih:f31b4611ad1f8d7c4f736f0aa03ab2a0b178568c&www=pniao.com, magnet:?xt=urn:btih:e382778e4c1b5c73fcdc19a15cf5eefa42f79e99&www=pniao.com, magnet:?xt=urn:btih:71925c8158687b4851850dbd73673edb1d60c12a&www=pniao.com, magnet:?xt=urn:btih:7f6b2f912e5d4fc16357255a88da0968a88427ba&www=pniao.com, magnet:?xt=urn:btih:24c02d079c0436565d82f1a1eb37ea88a54508fa&www=pniao.com, magnet:?xt=urn:btih:4ca15f01baa5c392fcd29378b465fbca59c244b6&www=pniao.com, magnet:?xt=urn:btih:B58161BDABE76A729B1612A11988DC6F34C53363&www=pniao.com, magnet:?xt=urn:btih:6DED33EE50B9111F663F56B99CBF09301CF9D49B&www=pniao.com, magnet:?xt=urn:btih:E304158517A406C5FFFBF1057DF7A0B5E377A1AB&www=pniao.com, magnet:?xt=urn:btih:1BA99CBC64E11A97E4D59F377F29C1AA4014F987&www=pniao.com, magnet:?xt=urn:btih:DDF8543E09177E99A0D9F53E2DFBB68ABED94A90&www=pniao.com, magnet:?xt=urn:btih:A0CC5B0717250553CE98FA25EB636D04B7773609&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8UHN5Y2hvLjE5NjAu57K+56We55eF5oKj6ICFLuWPjOivreWtl+W5lS5IUi1IRFRWLkFDMy4xMDI0WDU3Ni54MjY0LeS6uuS6uuW9seinhuWItuS9nC5ta3Z8MTc4MjkyODkwMHw3QzY4QzBBQUNCRDY3OUUwMzQ1NDVBNTI0QUVDMUVDM3xoPU40WE5PRTNKQUtaSFpESU5MTUlDQlJOMkhPNVlKVFQ3fC9aWg==, thunder://QUFlZDJrOi8vfGZpbGV8JUU2JTgzJThBJUU5JUFEJTgyJUU4JUFFJUIwLlBzeWNoby4xOTYwLkJELU1QNC5tcDR8NjUyNzI2NDIwfDU4MDMyNjI0N2ExNDYzZjA5NjE4YzVhOWMyYTdmNGI3fGg9cXduNnh3N2g3NWxueXFidHdma3dvbGJ0dTNkd2V3Zmt8L1pa, thunder://QUFlZDJrOi8vfGZpbGV8W+eyvuelnueXheaCo+iAhV0uUHN5Y2hvLjE5NjAuQmx1UmF5LjEwODBwLngyNjQuRFRTLU15U2lMVS5ta3Z8OTM5MDMyNzc3NXw3M2ZkNzcwMzUyYjI4MzI3MTlhMzlmZjg5ZDM5Y2JlYXxoPXI3ZnlleXY1eWxpd3p6ZGxkeXNkem1hajRlZWZweHNhfC9aWg==, thunder://QUFlZDJrOi8vfGZpbGV8W+eyvuelnueXheaCo+iAhV0uUHN5Y2hvLjE5NjAuQmx1UmF5LjEwODBwLngyNjQuRFRTLU15U2lMVS5TYW1wbGUubWt2fDEwMDE1MjkyMnw4NDE1YmUxNDZhMmMyYTY1ZmZmNTlhYzcwMDFiOGQxMXxoPXZ0cXJrb2o0NGx3eW1rM2duYTI3dzV4d202Z3hxbXJnfC9aWg==, thunder://QUFlZDJrOi8vfGZpbGV8W+aDiumtguiusC5dLlBzeWNoby4xOTYwLkJsdVJheS43MjBwLkRUUy54MjY0LUNIRC5zYW1wbGUubWt2fDUzMjUxMDQxfDNkZWNiNTIxNDRhM2RmNWNjYjZhZDc4ODEzMWUyYmY1fGg9Z3Z3c2traGljdTQ1N20ycDZuZHlodG5udnE3ejV0eGJ8L1pa, thunder://QUFlZDJrOi8vfGZpbGV8W+aDiumtguiusC5dLlBzeWNoby4xOTYwLkJsdVJheS43MjBwLkRUUy54MjY0LUNIRC5ta3Z8NzAyNjQ0MDgxMnxjMmI0YmQwYjBiZGY5YzQ3ZjQ0NzFmYjEyYzFmZTE1NXxoPXNuZXdha3lyNzNjbmk1ZXh5YmRmaHJ0bHg0YzVpM3A2fC9aWg==",阿尔弗雷德·希区柯克,珍妮特·利,"悬疑,惊悚,恐怖",美国,,63,影史经典惊悚片，由阿尔弗雷德·希区柯克执导，安东尼·博金斯、珍妮特·利等主演。 该片讲述了玛莉莲盗取公款后投宿于汽车旅馆，却在浴室中被精神分裂的狂人杀死。玛莉莲的姐姐和男友加入警方的调查，在逐步侦查下终于揭露狂人杀人真相的故事
梦之安魂曲,2000,102,百度云页面没有了。。。,"http://pan.baidu.com/s/1o78MrhC 密码:cpif, ed2k://|file|Requiem.for.a.Dream.2000.梦之安魂曲.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.mkv|1664700221|5DA93904CB0664FE432E0B875F3BDF81|h=PPHT3AO7PFQMIG2X4DCN5ZR4TFXP3AIA|/, ed2k://|file|Requiem.for.a.Dream.2000.梦之安魂曲.双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作.sample.mkv|31614623|742FE6C2C85428F7FEB5B95D7FB24AAB|h=UXKJL2RXONHEDGHGHRASKO72JMETKZH2|/, ed2k://|file|Requiem.For.A.Dream.2000.720p.BluRay.x264-SiNNERS.mkv|4696548889|33AE7A02A04BCBE2F8BED39E4DD0488E|h=GEMIPVDSDN77PXSJWK6PCBCN5A5UIMQX|/, magnet:?xt=urn:btih:2564f9e7ff9c396731cc176a085a830e3d7ad47f&www=pniao.com, magnet:?xt=urn:btih:0b0a28af1f90cc071736c4b0060a5060720c950e&www=pniao.com, magnet:?xt=urn:btih:da95a05517fde68010038bc22e8a1fd0cbb7c468&www=pniao.com, magnet:?xt=urn:btih:d84b0e5be14379c9b6b1d9c9d8363fba677f2510&www=pniao.com, magnet:?xt=urn:btih:540d5e2bf20fe15c985839c24f877706102c831a&www=pniao.com, magnet:?xt=urn:btih:ada34fc73b5cff34d68e129c65f53910c5a843ab&www=pniao.com, magnet:?xt=urn:btih:3acc25db8c875e391a69dc81d022a0b4085f398e&www=pniao.com, magnet:?xt=urn:btih:5d178c6ca929fd82675612f141fa8a09b52f381a&www=pniao.com, magnet:?xt=urn:btih:582be5c06dce79a8ec95c68aa8e0ea96cc74c278&www=pniao.com, magnet:?xt=urn:btih:f046cb9fb44f3eb6638eab08bde708e445a20243&www=pniao.com, magnet:?xt=urn:btih:dc61e8e6f57e4e0c3858b5ef67c92213bc289f1b&www=pniao.com, magnet:?xt=urn:btih:9e193d0bb78c6cd1cf353c464fa1d8bdf150f4d2&www=pniao.com, magnet:?xt=urn:btih:5a6fee7ae46da2a09b789ff731557f714af59949&www=pniao.com, magnet:?xt=urn:btih:a931f9cfc378ae619b26f4e44a0d934b69bae38f&www=pniao.com, magnet:?xt=urn:btih:5BA94E7B6216B44B29ADE0A216276315F223B0DE&www=pniao.com, magnet:?xt=urn:btih:2D98CB81CEA74C22A8D150598BD47262694F4D43&www=pniao.com, thunder://QUFlZDJrOi8vfGZpbGV8UmVxdWllbS5mb3IuYS5EcmVhbS4yMDAwLuaipuS5i+Wuiemtguabsi7lj4zor63lrZfluZUuSFItSERUVi5BQzMuMTAyNFg1NzYueDI2NC3kurrkurrlvbHop4bliLbkvZwubWt2fDE2NjQ3MDAyMjF8NURBOTM5MDRDQjA2NjRGRTQzMkUwQjg3NUYzQkRGODF8aD1QUEhUM0FPN1BGUU1JRzJYNERDTjVaUjRURlhQM0FJQXwvWlo=, thunder://QUFlZDJrOi8vfGZpbGV8UmVxdWllbS5mb3IuYS5EcmVhbS4yMDAwLuaipuS5i+Wuiemtguabsi7lj4zor63lrZfluZUuSFItSERUVi5BQzMuMTAyNFg1NzYueDI2NC3kurrkurrlvbHop4bliLbkvZwuc2FtcGxlLm1rdnwzMTYxNDYyM3w3NDJGRTZDMkM4NTQyOEY3RkVCNUI5NUQ3RkIyNEFBQnxoPVVYS0pMMlJYT05IRURHSEdIUkFTS083MkpNRVRLWkgyfC9aWg==, thunder://QUFlZDJrOi8vfGZpbGV8UmVxdWllbS5Gb3IuQS5EcmVhbS4yMDAwLjcyMHAuQmx1UmF5LngyNjQtU2lOTkVSUy5ta3Z8NDY5NjU0ODg4OXwzM0FFN0EwMkEwNEJDQkUyRjhCRUQzOUU0REQwNDg4RXxoPUdFTUlQVkRTRE43N1BYU0pXSzZQQ0JDTjVBNVVJTVFYfC9aWg==",达伦·阿伦诺夫斯基,艾伦·伯斯汀,剧情,美国,8.7,64,达伦·阿罗诺夫斯基执导，艾伦·鲍斯汀，杰瑞德·莱托，詹妮弗·康纳利领衔主演。影片讲述了哈里是一个毒贩，他毒瘾发作时可以把母亲的电视机都给卖了；他妈妈为了上一个电视节目，需要减肥，也减上了瘾，两人双双卷入这个生活的漩涡，精神和肉体经受了种种摧...
燃情岁月,1994,133,,"ed2k://|file|燃情岁月.Legends.of.the.Fall.1994.BD.MiniSD-TLF.mkv|1068652023|32F3CE254B2A5BE877CF6278869A6D9B|/, ed2k://|file|千与千寻.Spirited.Away.2001.HDTV.3Audio.MiniSD-TLF.mkv|1072414005|424BB07E55E0A44DD701F7D915BE439C|/, ed2k://|file|Legends.Of.The.Fall.1994.燃情岁月.双语字幕.HR-HDTV.AC3.1024X576.X264-YYeTs人人影视.mkv|2126769632|DA1F2CEA62CE14868D16E2A99927E9E2|h=3IV3KHX2YM4OMZKOGVGYBJJN726YRJFE|/, magnet:?xt=urn:btih:37561b98b62479326a7e10b7af82a31ae2f0dc01&www=pniao.com, magnet:?xt=urn:btih:e48c2bbcbc9254bf3e17b042b9d98bc6fd7e6ddf&www=pniao.com, magnet:?xt=urn:btih:76dad1dee7fa73d623910ddbc0d514d9163de6a5&www=pniao.com, magnet:?xt=urn:btih:4c4abd0e96e03a8c4c5e28b3e22cb568b2415e3b&www=pniao.com, magnet:?xt=urn:btih:7cf27420ac21222cb5e546be357d90ead3eb648a&www=pniao.com, magnet:?xt=urn:btih:bc7514879c64b35886ca415629180848670927b5&www=pniao.com, magnet:?xt=urn:btih:095c4106b76b77792255058dc04139fa162530b3&www=pniao.com, magnet:?xt=urn:btih:3147F36CE1E77E37C866128F6C58C999BA604F6E&www=pniao.com, magnet:?xt=urn:btih:32C01EB406979AB3C9FC36285E418934BEA5D5F6&www=pniao.com",爱德华·兹威克,安东尼·霍普金斯,"剧情,爱情,家庭",美国,8.7,33,爱德华·兹威克执导的一部电影，由安东尼·霍普金斯、布拉德·皮特主演。 影片主要讲述美军上校威廉厌恶战争，带着三个儿子隐居，而女主角苏珊娜是最小的弟弟山姆的未婚妻，兄弟三个没有听父亲的警告参加了战争，最后山姆战死，二哥特里斯坦将山姆的心脏运回...
